Text,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:10.1558,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msAim.hmt:10.1559,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msAil.hmt:10.1560,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msAil.hmt:10.1561,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msAil.hmt:10.1562,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msAil.hmt:10.1563,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msA.hmt:10.2000,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2001,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2002,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2003,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2004,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2005,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2006,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2007,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2008,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2009,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2010,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2012,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2013,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAim.hmt:10.2000,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAim.hmt:10.2001,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAint.hmt:10.2000,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAint.hmt:10.2001,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAext.hmt:10.2000,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2000,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAil.hmt:10.5001,urn:cite:hmt:msA.130r
