URN,ImageReference
urn:cts:greekLit:tlg0012.tlg001.msA:10.34,"urn:cite:hmt:vaimg.VA126VN-0629@0.482,0.3696,0.393,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.35,"urn:cite:hmt:vaimg.VA126VN-0629@0.489,0.3892,0.409,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.36,"urn:cite:hmt:vaimg.VA126VN-0629@0.485,0.4065,0.398,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.37,"urn:cite:hmt:vaimg.VA126VN-0629@0.485,0.4275,0.398,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.38,"urn:cite:hmt:vaimg.VA126VN-0629@0.481,0.447,0.414,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.39,"urn:cite:hmt:vaimg.VA126VN-0629@0.485,0.4666,0.361,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.40,"urn:cite:hmt:vaimg.VA126VN-0629@0.492,0.4801,0.404,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.41,"urn:cite:hmt:vaimg.VA126VN-0629@0.491,0.5026,0.419,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.42,"urn:cite:hmt:vaimg.VA126VN-0629@0.49,0.5229,0.419,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.43,"urn:cite:hmt:vaimg.VA126VN-0629@0.488,0.5402,0.425,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.44,"urn:cite:hmt:vaimg.VA126VN-0629@0.483,0.5605,0.388,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.45,"urn:cite:hmt:vaimg.VA126VN-0629@0.492,0.5793,0.388,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.46,"urn:cite:hmt:vaimg.VA126VN-0629@0.491,0.5958,0.406,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.47,"urn:cite:hmt:vaimg.VA126VN-0629@0.493,0.6153,0.383,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.48,"urn:cite:hmt:vaimg.VA126VN-0629@0.492,0.6334,0.394,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.49,"urn:cite:hmt:vaimg.VA126VN-0629@0.495,0.6566,0.375,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.50,"urn:cite:hmt:vaimg.VA126VN-0629@0.491,0.6717,0.356,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.51,"urn:cite:hmt:vaimg.VA127RN-0299@0.1712,0.2104,0.3614,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.52,"urn:cite:hmt:vaimg.VA127RN-0299@0.1722,0.2314,0.4194,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.53,"urn:cite:hmt:vaimg.VA127RN-0299@0.1672,0.2479,0.3534,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.54,"urn:cite:hmt:vaimg.VA127RN-0299@0.1672,0.266,0.3744,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.55,"urn:cite:hmt:vaimg.VA127RN-0299@0.1632,0.284,0.3944,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.56,"urn:cite:hmt:vaimg.VA127RN-0299@0.1642,0.3043,0.3994,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.57,"urn:cite:hmt:vaimg.VA127RN-0299@0.1612,0.3246,0.3994,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.58,"urn:cite:hmt:vaimg.VA127RN-0299@0.1602,0.3449,0.4074,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.59,"urn:cite:hmt:vaimg.VA127RN-0299@0.1592,0.3621,0.4074,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.60,"urn:cite:hmt:vaimg.VA127RN-0299@0.1622,0.3824,0.4134,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.61,"urn:cite:hmt:vaimg.VA127RN-0299@0.1642,0.405,0.3964,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:10.62,"urn:cite:hmt:vaimg.VA127RN-0299@0.1662,0.4207,0.4274,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.63,"urn:cite:hmt:vaimg.VA127RN-0299@0.1622,0.4373,0.4154,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.64,"urn:cite:hmt:vaimg.VA127RN-0299@0.1622,0.4613,0.4214,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.65,"urn:cite:hmt:vaimg.VA127RN-0299@0.1622,0.4801,0.4214,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.66,"urn:cite:hmt:vaimg.VA127RN-0299@0.1602,0.4966,0.4344,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.67,"urn:cite:hmt:vaimg.VA127RN-0299@0.1592,0.5154,0.4374,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.68,"urn:cite:hmt:vaimg.VA127RN-0299@0.1582,0.5357,0.4394,0.0255"
