Observation,Texturn,image,comments
urn:cite:op:hmt:10.1034,urn:cts:greekLit:tlg5026.msA.hmt:10.68@α[3],"urn:cite:hmt:vaimg.VA127RN-0299@0.2783,0.0999,0.009,0.0135",
urn:cite:op:hmt:10.1035,urn:cts:greekLit:tlg5026.msA.hmt:10.68@ὁ,"urn:cite:hmt:vaimg.VA127RN-0299@0.2923,0.1007,0.012,0.0165",
urn:cite:op:hmt:10.1036,urn:cts:greekLit:tlg5026.msA.hmt:10.68@μ,"urn:cite:hmt:vaimg.VA127RN-0299@0.3003,0.1037,0.013,0.0113",
urn:cite:op:hmt:10.1037,urn:cts:greekLit:tlg5026.msA.hmt:10.68@ὲν,"urn:cite:hmt:vaimg.VA127RN-0299@0.3093,0.0939,0.014,0.0203",
urn:cite:op:hmt:10.1038,urn:cts:greekLit:tlg5026.msA.hmt:10.68@δ,"urn:cite:hmt:vaimg.VA127RN-0299@0.3233,0.0947,0.007,0.0188",
urn:cite:op:hmt:10.1039,urn:cts:greekLit:tlg5026.msA.hmt:10.68@ί,"urn:cite:hmt:vaimg.VA127RN-0299@0.3233,0.0947,0.007,0.0188",
urn:cite:op:hmt:10.1040,urn:cts:greekLit:tlg5026.msA.hmt:10.68@δ[2],"urn:cite:hmt:vaimg.VA127RN-0299@0.3333,0.0917,0.011,0.024",
urn:cite:op:hmt:10.1041,urn:cts:greekLit:tlg5026.msA.hmt:10.96@π,"urn:cite:hmt:vaimg.VA127VN-0630@0.2352,0.127,0.013,0.0143",
urn:cite:op:hmt:10.1042,urn:cts:greekLit:tlg5026.msA.hmt:10.96@ὰ,"urn:cite:hmt:vaimg.VA127VN-0630@0.2462,0.1195,0.008,0.015",
urn:cite:op:hmt:10.1043,urn:cts:greekLit:tlg5026.msA.hmt:10.96@ρ,"urn:cite:hmt:vaimg.VA127VN-0630@0.2533,0.124,0.008,0.0158",
urn:cite:op:hmt:10.1044,urn:cts:greekLit:tlg5026.msA.hmt:10.96@δ,"urn:cite:hmt:vaimg.VA127VN-0630@0.2603,0.1225,0.009,0.0143",
urn:cite:op:hmt:10.1045,urn:cts:greekLit:tlg5026.msA.hmt:10.96@ὲ,"urn:cite:hmt:vaimg.VA127VN-0630@0.2683,0.1225,0.009,0.0143",
urn:cite:op:hmt:10.1046,urn:cts:greekLit:tlg5026.msA.hmt:10.96@ζ,"urn:cite:hmt:vaimg.VA127VN-0630@0.2763,0.124,0.009,0.0165",
urn:cite:op:hmt:10.1047,urn:cts:greekLit:tlg5026.msA.hmt:10.96@ω,"urn:cite:hmt:vaimg.VA127VN-0630@0.2853,0.1255,0.009,0.0105",
urn:cite:op:hmt:10.1048,urn:cts:greekLit:tlg5026.msA.hmt:10.96@σ,"urn:cite:hmt:vaimg.VA127VN-0630@0.2913,0.1255,0.01,0.0105",
urn:cite:op:hmt:10.1049,urn:cts:greekLit:tlg5026.msA.hmt:10.96@τ,"urn:cite:hmt:vaimg.VA127VN-0630@0.2963,0.124,0.01,0.0128",
urn:cite:op:hmt:10.1050,urn:cts:greekLit:tlg5026.msA.hmt:10.96@η,"urn:cite:hmt:vaimg.VA127VN-0630@0.3053,0.1225,0.004,0.0158",
urn:cite:op:hmt:10.1051,urn:cts:greekLit:tlg5026.msA.hmt:10.96@ρ[2],"urn:cite:hmt:vaimg.VA127VN-0630@0.3093,0.1232,0.009,0.0165",
urn:cite:op:hmt:10.1052,urn:cts:greekLit:tlg5026.msA.hmt:10.96@ὅ,"urn:cite:hmt:vaimg.VA127VN-0630@0.3213,0.121,0.012,0.0188",
urn:cite:op:hmt:10.1054,urn:cts:greekLit:tlg5026.msA.hmt:10.96@τ[2],"urn:cite:hmt:vaimg.VA127VN-0630@0.3313,0.1255,0.009,0.0165",
